Название,Режиссер,Дата выхода,Сборы,Длительность,Актеры,Рейтинг,Жанры
Бэтмен против Супермена: На заре справедливости,Зак Снайдер,12.03.2016,873634919,153,"Генри Кавилл, Бен Аффлек, Галь Гадот, Эми Адамс, Джесси Айзенберг, Джереми Айронс, Дайан Лэйн, Лоренс Фишбёрн, Холли Хантер, Скут МакНэри",6.40,"фантастика, боевик, фэнтези, приключения"
Человек из стали,Зак Снайдер,10.06.2013,668045518,143,"Генри Кавилл, Эми Адамс, Майкл Шеннон, Рассел Кроу, Дайан Лэйн, Кевин Костнер, Антье Трауэ, Лоренс Фишбёрн, Кристофер Мелони, Гарри Дж. Ленникс",7.00,"фантастика, боевик, приключения"
Побег из Шоушенка,Фрэнк Дарабонт,10.09.1994,28418687,142,"Тим Роббинс, Морган Фриман, Боб Гантон, Уильям Сэдлер, Клэнси Браун, Гил Беллоуз, Марк Ролстон, Джеймс Уитмор, Джеффри ДеМанн, Ларри Бранденбург",9.30,драма
Темный рыцарь,Кристофер Нолан,14.07.2008,1003045358,152,"Кристиан Бэйл, Хит Леджер, Аарон Экхарт, Мэгги Джилленхол, Гари Олдман, Майкл Кейн, Морган Фриман, Чинь Хань, Нестор Карбонелл, Эрик Робертс",9.00,"фантастика, боевик, триллер, криминал, драма"
Начало,Кристофер Нолан,08.07.2010,828322032,148,"Леонардо ДиКаприо, Джозеф Гордон-Левитт, Эллиот Пейдж, Том Харди, Кэн Ватанабэ, Дилип Рао, Киллиан Мёрфи, Том Беренджер, Марион Котийяр, Пит Постлетуэйт",8.80,"фантастика, боевик, триллер, драма, детектив"
Железный человек,Джон Фавро,14.04.2008,585366247,121,"Роберт Дауни мл., Джефф Бриджес, Гвинет Пэлтроу, Терренс Ховард, Лесли Бибб, Шон Тоуб, Фаран Таир, Кларк Грегг, Джон Фавро, Саид Бадрия",7.90,"фантастика, боевик, приключения"
Однажды в… Голливуде,Квентин Тарантино,21.05.2019,372711080,161,"Леонардо ДиКаприо, Брэд Питт, Марго Робби, Эмиль Хирш, Маргарет Куэлли, Тимоти Олифант, Джулия Баттерз, Остин Батлер, Дакота Фаннинг, Брюс Дерн",7.60,"драма, комедия"
Мстители: Война бесконечности,"Энтони Руссо, Джо Руссо",23.04.2018,2048359754,149,"Роберт Дауни мл., Крис Хемсворт, Марк Руффало, Крис Эванс, Скарлетт Йоханссон, Дон Чидл, Бенедикт Камбербэтч, Том Холланд, Чедвик Боузман, Зои Салдана",8.40,"фантастика, боевик, приключения"
Мстители: Финал,"Энтони Руссо, Джо Руссо",22.04.2019,2797501328,181,"Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт, Скарлетт Йоханссон, Джереми Реннер, Дон Чидл, Пол Радд, Бри Ларсон, Карен Гиллан",8.40,"фантастика, боевик, драма, приключения"
Человек-паук: Возвращение домой,Джон Уоттс,28.06.2017,880166924,133,"Том Холланд, Роберт Дауни мл., Майкл Китон, Мариса Томей, Джон Фавро, Джейкоб Баталон, Зендея, Лора Хэрриер, Тони Револори, Дональд Гловер",7.40,"фантастика, боевик, приключения"
Человек-паук: Вдали от дома,Джон Уоттс,26.06.2019,1131927996,129,"Том Холланд, Сэмюэл Л. Джексон, Джейк Джилленхол, Зендея, Коби Смолдерс, Мариса Томей, Джон Фавро, Джейкоб Баталон, Тони Револори, Энгаури Райс",7.50,"фантастика, боевик, приключения"
Звёздные войны: Эпизод 3 — Месть Ситхов,Джордж Лукас,12.05.2005,849997605,140,"Юэн Макгрегор, Натали Портман, Хейден Кристенсен, Иен Макдермид, Сэмюэл Л. Джексон, Джимми Смитс, Фрэнк Оз, Энтони Дэниелс, Кристофер Ли, Киша Касл-Хьюз",7.50,"фантастика, боевик, фэнтези, приключения"
Звёздные войны: Эпизод 4 — Новая надежда,Джордж Лукас,25.05.1977,503015849,121,"Марк Хэмилл, Харрисон Форд, Кэрри Фишер, Питер Кушинг, Алек Гиннесс, Энтони Дэниелс, Кенни Бейкер, Питер Мейхью, Дэвид Праус, Фил Браун",8.60,"фантастика, боевик, фэнтези, приключения"
Бегущий по лезвию 2049,Дени Вильнёв,03.10.2017,259239658,164,"Райан Гослинг, Харрисон Форд, Ана де Армас, Сильвия Хукс, Робин Райт, Маккензи Дэвис, Карла Юри, Ленни Джеймс, Дэйв Батиста, Джаред Лето",8.00,"фантастика, боевик, триллер, драма, детектив"
Ла-Ла Ленд,Дэмьен Шазелл,31.08.2016,447407695,128,"Райан Гослинг, Эмма Стоун, Джон Ледженд, Дж.К. Симмонс, Розмари ДеУитт, Финн Уиттрок, Калли Эрнандес, Соноя Мидзуно, Джессика Рот, Том Эверетт Скотт",8.00,"мюзикл, драма, мелодрама, комедия, музыка"
Человек-паук,Сэм Рэйми,30.04.2002,821708551,121,"Тоби Магуайр, Уиллем Дефо, Кирстен Данст, Джеймс Франко, Клифф Робертсон, Розмари Харрис, Дж.К. Симмонс, Джо Манганьелло, Майкл Пападжон, Билл Нанн",7.30,"фантастика, боевик, приключения"
Человек-паук 3: Враг в отражении,Сэм Рэйми,03.04.2007,890871626,139,"Тоби Магуайр, Кирстен Данст, Джеймс Франко, Томас Хейден Чёрч, Тофер Грейс, Брайс Даллас Ховард, Розмари Харрис, Дж.К. Симмонс, Джеймс Кромуэлл, Илья Баскин",6.20,"фантастика, боевик, приключения"
Господин Никто,Жако ван Дормель,11.09.2009,2903622,138,"Джаред Лето, Сара Полли, Дайан Крюгер, Лин Дэн Пэм, Рис Иванс, Наташа Литтл, Тоби Регбо, Джуно Темпл, Клер Стоун, Томас Бирн",7.80,"фантастика, мелодрама, фэнтези, драма"